Название,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе
R в действии. Анализ и визуализация данных на языке R,Кабаков Роберт И.,ДМК-Пресс,1397,2793,50,На складе
JavaScript для начинающих,МакГрат Майк,Бомбора:Мировой компьютерный бестселлер (обложка),923,1264,27,На складе
Интерактивные дашборды и приложения с Plotly и Dash. Используем полноценный веб-фреймворк в Python,Дабасс Элиас,ДМК-Пресс,1814,3628,50,На складе
Kotlin. Программирование для профессионалов,Скин Джош и др.,Питер:Для профессионалов,2859,3665,22,На складе
Тестирование JavaScript,Коста Лукас да,Питер:Библиотека программиста,2547,3265,22,На складе
Программируем на Java,Лой Марк и др.,Питер:Бестселлеры O`Reilly,2836,3636,22,На складе
Введение в программную инженерию. Учебник,Антипов Владимир Анатольевич и др.,ИНФРА-М,2016,4032,50,Ограничено
Asyncio и конкурентное программирование на Python,Фаулер Мэттью,ДМК-Пресс,2373,4746,50,На складе
Создай свой собственный язык программирования. Руководство программиста по разработке компиляторов,Джеффери Клинтон Л.,ДМК-Пресс,2163,4326,50,На складе
Учимся рисовать на компьютере кодом p5.js,"Розанов Андрей Николаевич, Жуков Кирилл Леонидович",ДМК-Пресс,1397,2793,50,На складе
Основы теории интеллектуального управления энергосберегающими режимами. Учебное пособие,"Поляков Анатолий Евгеньевич, Иванов Максим Сергеевич",Лань,5771,Цена без скидки не указана,Скидка отсутствует,На складе
Система контроля версий. Основы командной разработки. Учебное пособие,"Васильева Марина Алексеевна, Филипченко Константин Михайлович",Лань:Компьютеры и программное обеспечение,5771,Цена без скидки не указана,Скидка отсутствует,Ограничено
Разработка программного тренажера в среде многоагентного моделирования NetLogo. Учебное пособие,Исхаков Алмаз Раилевич,Лань:Компьютеры и программное обеспечение,4534,Цена без скидки не указана,Скидка отсутствует,Ограничено
Эффективное тестирование программного обеспечения,Аниче Маурисио,ДМК-Пресс,2513,5026,50,На складе
Глубокое обучение на Python,Шолле Франсуа,Питер:Библиотека программиста,2823,3619,22,На складе
Микропроцессорные системы. Применение микроконтроллеров семейства AVR для управления внешними устр.,Сонькин Михаил Аркадьевич и др.,Инфра-Инженерия,683,1366,50,На складе
Основы визуального программирования в среде Visual Studio на базе C#,Мартыненко Татьяна Владимировна и др.,Инфра-Инженерия,856,1712,50,На складе
Пять строк кода. Роберт Мартин рекомендует,Клаусен Кристиан,Питер:Библиотека программиста,1701,2181,22,На складе
Python. Исчерпывающее руководство,Бизли Дэвид,Питер:Для профессионалов,2240,2872,22,На складе
Практикум по анализу данных на языках Python и R. Учебное пособие,Баюк Олег Александрович и др.,Прометей,471,941,50,На складе
Знакомство с Python,Бейдер Дэн и др.,Питер:Библиотека программиста,2142,2746,22,На складе
Теория и практика программирования на языке Pascal,"Расолько Галина Алексеевна, Кремень Юрий Алексеевич",Вышэйшая школа,10528,21056,50,Ограничено
